epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.994,1.36978,1.51305,1.12905,0.93619,0.56275,0.60978,0.38647,1.28439,0.86621,1.10544,0.000474787,0.000474787,0.000474787
2,200.927,1.30035,0.95159,1.10707,0.92971,0.58291,0.62375,0.3815,1.29704,0.81775,1.13259,0.000932288,0.000932288,0.000932288
3,297.474,1.29629,0.87334,1.1074,0.93436,0.58313,0.62817,0.3931,1.26854,0.73155,1.11326,0.00137093,0.00137093,0.00137093
4,394.375,1.28294,0.82112,1.10352,0.95323,0.58379,0.63144,0.41307,1.24165,0.69921,1.10947,0.00134412,0.00134412,0.00134412
5,492.509,1.26285,0.77859,1.09874,0.92525,0.58481,0.62774,0.39955,1.22336,0.72702,1.103,0.00131582,0.00131582,0.00131582
6,592.722,1.24455,0.75562,1.09289,0.95379,0.5988,0.64198,0.41195,1.2129,0.67096,1.0983,0.00128753,0.00128753,0.00128753
7,690.949,1.23378,0.73062,1.08882,0.95625,0.59644,0.63864,0.41874,1.22938,0.64118,1.10163,0.00125923,0.00125923,0.00125923
8,790.103,1.22229,0.70536,1.08018,0.9562,0.601,0.64413,0.42399,1.19247,0.59427,1.08582,0.00123094,0.00123094,0.00123094
9,888.705,1.21695,0.7032,1.07933,0.95844,0.60659,0.64513,0.43248,1.18621,0.59645,1.08901,0.00120265,0.00120265,0.00120265
10,988.949,1.21369,0.6864,1.07713,0.95383,0.59826,0.64291,0.42406,1.20516,0.60955,1.09987,0.00117435,0.00117435,0.00117435
11,1086.78,1.21226,0.68963,1.07735,0.95789,0.60407,0.64703,0.43047,1.17389,0.57819,1.07762,0.00114606,0.00114606,0.00114606
12,1182.93,1.20282,0.67243,1.07333,0.95307,0.61048,0.64872,0.43873,1.17424,0.57273,1.0856,0.00111776,0.00111776,0.00111776
13,1282.13,1.18923,0.66161,1.06778,0.95419,0.60266,0.64437,0.43411,1.18711,0.5819,1.08918,0.00108947,0.00108947,0.00108947
14,1380.82,1.18245,0.65363,1.06824,0.96069,0.60739,0.64819,0.44201,1.16966,0.57165,1.07674,0.00106118,0.00106118,0.00106118
